THFA_yield (%)
18.0
8.0
0.0
10.0
82.0
95.0
90.0
92.0
97.0
85.0
95.9
9.2
24.0
38.0
42.0
81.0
100.0
0.0
3.42
11.0
10.0
6.84
100.0
100.0
99.0
99.0
90.0
100.0
100.0
83.0
52.0
54.0
65.0
89.0
44.0
43.0
72.0
70.0
78.0
51.0
57.0
52.32
55.96
0.0
12.12
38.79
20.0
20.0
12.0
18.0
8.0
4.38
0.0
20.0
0.4
6.100000000000001
82.0
92.0
73.0
79.65
74.4
95.0
92.0
87.5
96.0
19.08
51.75
66.89
35.0
30.1
75.0
70.0
82.0
95.0
95.0
91.7
98.0
52.32
40.12
10.0
15.0
49.0
58.0
35.2
60.0
51.0
16.0
53.0
50.0
42.0
35.0
35.0
14.0
61.78
45.54
83.0
26.35
46.74
45.89
20.68
21.0
21.5688
98.0
83.61
95.0
59.7
61.6
66.2
66.7
64.4
58.469
1.9929
86.45
91.66
83.65
90.0384
82.9
15.563000000000002
10.296
4.758639
8.369100999999999
15.07824
70.716
68.9643
77.98514
11.6938
1.49325
43.09746
54.4
40.34678
56.462327
28.95
37.76154
16.3
2.1
7.61
15.35
68.4
76.68
64.82
97.2
85.03
100.0
88.1
97.6
97.3
0.0
82.3
3.14
7.8
16.08
12.57
10.1
36.48
25.0
23.5
59.28
13.694
0.0
7.684299999999999
9.8914
7.6499
100.0
94.6
96.6
56.9173
42.003
39.78
30.342
74.2764
44.67983393843199
58.39179
48.19937
47.06709
45.62812
45.06424
42.73863
51.19828
40.21675
59.67
50.4865
48.18
52.46
45.038742
55.41582
14.078504338084
9.57528972189
10.59
13.724802000000002
5.89
0.767676
1.68973
5.459076
17.321089
5.501222
11.665170999999996
8.378164
34.872068000000006
39.42
30.09
30.79
25.581969826191003
24.719337460257
38.20361
75.269858
71.25
60.42328499999999
68.85498
79.05
64.25
71.81
89.81
91.15
90.16
84.01
92.5
95.5
87.33101
85.78
10.42
13.23
56.58
69.87
13.04
35.11
9.642724
5.61209
7.255617999999999
1.758006
1.450428
0.229863
2.34
3.85
18.2
12.48
12.342
27.3854
38.0375
31.5
38.0
30.38
68.0
83.2
92.79
19.8288
91.87
97.88
80.57
89.31
87.7485
42.41
78.762761
1.35
1.05
4.328799999999999
2.9172
8.1
6.703199999999999
8.075
5.997324
4.5486
54.985962
4.24
12.605222
14.74
4.639759999999999
0.0
4.314464999999999
5.890599
12.576563999999998
4.600820000000001
8.69648
3.0378000000000003
16.584
19.939200000000003
16.2316
1.311
8.2812
14.0397
1.3468
26.5926
35.5014
36.427
21.52
29.4705
49.623000000000005
34.551
6.675
3.5855
7.352799999999999
33.4254
42.0
3.5784
9.3
9.7
0.989
7.1424
9.7
3.103
33.3
36.4
0.9576
2.6892
5.457000000000001
0.2375999999999999
0.3334999999999999
0.472632
5.8156
1.953452
4.247796
7.7763
14.812813
0.62535
2.330904
0.7992
5.993044
6.330336000000001
4.390308000000001
9.443908
0.19635
2.546628
0.759144
1.624814
4.155879
3.70755
31.27
32.11
36.34
22.860292
26.4264
95.0
43.7
3.18528
11.43076
2.805858
8.062999999999999
1.974
